name,media_type
bigbloger.lidovky.cz,opinion
100+1 zahraniční zajímavost,mainstream
ego!,mainstream
epochaplus.cz,other
Pátek Lidových novin,mainstream
kscm.cz,party_web
ostrava.iDNES.cz,other
ČT 2,mainstream
prazskadrbna.cz,other
psp.cz,institution_web
cbdb.cz,other
usti.iDNES.cz,other
artalk.cz,mainstream
Brněnský deník,other
klaus.cz,opinion
lupa.cz,other
protisedi.cz,other
iportal24.cz,political_tabloid
tribune.cz,other
Ústecký deník,other
Horácké noviny,other
kultura21.cz,other
myfeds.com,market_driven
akceplzen.cz,other
jihlavskadrbna.cz,other
turistika.cz,other
Lidé a země,mainstream
lideazeme.cz,other
Rádio City,other
Vlasta,mainstream
virtually.cz,political_tabloid
gvkb.cz,other
ZAK TV,other
Hitrádio MAGIC,mainstream
islamizace.cz,antisystem
Nový prostor,other
Epocha,other
Naše rodina,mainstream
Chomutovský deník,other
systemonline.cz,other
Magazín Víkend DNES,mainstream
czso.cz,institution_web
zena-in.cz,mainstream
Policista,institution_web
Vesmír,mainstream
hradeckadrbna.cz,other
xman.iDNES.cz,mainstream
Liberecký deník,other
protiproud.parlamentnilisty.cz,antisystem
Berounský deník,other
mzv.cz,institution_web
novarepublika.online,antisystem
zive.cz,mainstream
genusplus.cz,other
newstream.cz,mainstream
Magazín Práva,mainstream
Mostecký deník,other
ČRo - cb.cz,other
parabola.cz,other
Českobudějovický deník,other
Žatecký a lounský deník,other
Českokrumlovský deník,other
Hitrádio MAGIC BRNO,other
chytrazena.cz,mainstream
ekonomicky-denik.cz,market_driven
lifee.cz,mainstream
root.cz,other
Aha! neděle,tabloid
Rádio Blaník - Čechy,other
Veřejná správa,institution_web
Znojemsko,other
channelworld.cz,other
ČT D: / ČT Art,mainstream
zlin.iDNES.cz,other
Evropské noviny,mainstream
IT SYSTEMS,other
pedagogicke.info,opinion
armyweb.cz,other
yplay.cz,market_driven
Litoměřický deník,other
Nový život - zpravodajský týdeník,other
hradec.iDNES.cz,other
zdn.cz,mainstream
Klatovský deník,other
National Geographic Česko,mainstream
extrastory.cz,tabloid
kosmas.cz,other
budejovice.iDNES.cz,other
ceskaskola.cz,opinion
Příbramský deník,other
freeglobe.parlamentnilisty.cz,antisystem
Jablonecký deník,other
silvarium.cz,other
ČRo - strednicechy.cz,other
Mělnický deník,other
Speciál DNES,mainstream
jihlava.iDNES.cz,other
Kolínský deník,other
divadlo.cz,other
Forbes Česko,mainstream
Rakovnický deník,other
kultura.iDNES.cz,mainstream
Rádio Čas,mainstream
ČRo - vysocina.cz,other
Břeclavský deník,other
Magazín Mladé fronty DNES,mainstream
olomouc.iDNES.cz,other
liberec.iDNES.cz,other
sport.aktualne.centrum.cz,other
CNN Prima NEWS - youtube,mainstream
Kladenský deník,other
Svitavský deník,other
TV magazín,mainstream
ČRo - plzen.cz,other
Nymburský deník,other
mediaguru.cz,other
Medical Tribune,other
Táborský deník,other
lui.cz,opinion
Jindřichohradecký deník,other
operaplus.cz,other
fullmoonzine.cz,other
nase-voda.cz,other
Teplický deník,other
Dobrý den s kurýrem,other
Olomoucký deník,other
ona.iDNES.cz,mainstream
tv.iDNES.cz,mainstream
fandimefilmu.cz,other
Chvilka pro tebe,mainstream
Marketing & Media,other
plzen.iDNES.cz,other
zastavmezlodeje.com,antisystem
Havlíčkobrodský deník,other
mistnikultura.cz,mainstream
ČRo - regina.cz,other
kulturni-noviny.cz,political_tabloid
nasepraha10.cz,other
ostravan.cz,other
zeny.iprima.cz,mainstream
Demokratický střed,opinion
cestovani.iDNES.cz,mainstream
games.cz,other
konzervativnilisty.cz,opinion
den24.cz,antisystem
"ČRo Region, Vysočina",other
svethospodarstvi.cz,opinion
Prager Zeitung,mainstream
ČRo - olomouc.cz,other
Orlický deník,other
